Application,Policy,Hostname,FriendlyName,Result,ExitCode,LastResult,Version,LastSeen,UUID
Google Chrome,Chrome Patching,Catalinas-Mac.local,Catalina's Mac,Success,0,Success,113.0.5672,04/12/2023,00ECD9FD
Google Chrome,Chrome Patching,Joannas-Mac.local,Joanna's Mac,Success,0,Success,113.0.5672,04/12/2023,FD1FB05A
Google Chrome,Chrome Patching,Katherines-Mac.local,Katherine's Mac,Success,0,Success,113.0.5672,04/12/2023,36A32B65
Google Chrome,Chrome Patching,Simons-Mac.local,Simon's Mac,Success,0,Success,113.0.5672,04/12/2023,FC27573E
Google Chrome,Chrome Patching,Cataleyas-Mac.local,Cataleya's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,D05353BA
Google Chrome,Chrome Patching,Alexandras-Mac.local,Alexandra's Mac,Success,0,Success,113.0.5672,04/12/2023,D37246E0
Google Chrome,Chrome Patching,Kanes-Mac.local,Kane's Mac,Success,0,Success,113.0.5672,04/12/2023,FB56052F
Google Chrome,Chrome Patching,Chloes-Mac.local,Chloe's Mac,Success,0,Success,113.0.5672,04/12/2023,B392D52A
Google Chrome,Chrome Patching,Wyatts-Mac.local,Wyatt's Mac,Success,0,Success,113.0.5672,04/12/2023,FF00F756
Google Chrome,Chrome Patching,Celines-Mac.local,Celine's Mac,Success,0,Success,113.0.5672,04/12/2023,A7C67DA8
Google Chrome,Chrome Patching,Cades-Mac.local,Cade's Mac,Success,0,Success,105.0.5195,04/12/2023,FAD463EA
Google Chrome,Chrome Patching,Orions-Mac.local,Orion's Mac,Waiting,1,Waiting,105.0.5195,04/12/2023,461F1165
Google Chrome,Chrome Patching,Eriks-Mac.local,Erik's Mac,Success,0,Success,113.0.5672,04/12/2023,F1AA3633
Google Chrome,Chrome Patching,Anayas-Mac.local,Anaya's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,0C112A83
Google Chrome,Chrome Patching,Clarks-Mac.local,Clark's Mac,Success,0,Success,113.0.5672,04/12/2023,A09B717F
Google Chrome,Chrome Patching,Zaynes-Mac.local,Zayne's Mac,Success,0,Success,113.0.5672,04/12/2023,F6AABBAB
Google Chrome,Chrome Patching,Jayces-Mac.local,Jayce's Mac,Success,0,Success,109.0.5414,04/12/2023,F6A08CBA
Google Chrome,Chrome Patching,Bennetts-Mac.local,Bennett's Mac,Success,0,Success,113.0.5672,04/12/2023,CD2FE111
Google Chrome,Chrome Patching,Jaylas-Mac.local,Jayla's Mac,Success,0,Success,113.0.5672,04/12/2023,147B67BD
Google Chrome,Chrome Patching,Israels-Mac.local,Israel's Mac,Success,0,Success,113.0.5672,04/12/2023,34365B59
Google Chrome,Chrome Patching,Brynns-Mac.local,Brynn's Mac,Success,0,Success,113.0.5672,04/12/2023,00B499FC
Google Chrome,Chrome Patching,Remis-Mac.local,Remi's Mac,Success,0,Success,113.0.5672,04/12/2023,8.11E+07
Google Chrome,Chrome Patching,Ivys-Mac.local,Ivy's Mac,Success,0,Success,113.0.5672,04/12/2023,E35F96C8
Google Chrome,Chrome Patching,Killians-Mac.local,Killian's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,AA54DD5F
Google Chrome,Chrome Patching,Wrens-Mac.local,Wren's Mac,Success,0,Success,113.0.5672,04/12/2023,DB4E9A38
Google Chrome,Chrome Patching,Claras-Mac.local,Clara's Mac,Success,0,Success,113.0.5672,04/12/2023,C2879D61
Google Chrome,Chrome Patching,Evelyns-Mac.local,Evelyn's Mac,Success,0,Success,113.0.5672,04/12/2023,6A2C7AAB
Google Chrome,Chrome Patching,Devins-Mac.local,Devin's Mac,Success,0,Success,113.0.5672,04/12/2023,6B68973D
Google Chrome,Chrome Patching,Kaysons-Mac.local,Kayson's Mac,Success,0,Success,113.0.5672,04/12/2023,BAB19703
Google Chrome,Chrome Patching,Judahs-Mac.local,Judah's Mac,Success,0,Success,113.0.5672,04/12/2023,9.21E+06
Google Chrome,Chrome Patching,Finns-Mac.local,Finn's Mac,Success,0,Success,113.0.5672,04/12/2023,7129FB15
Google Chrome,Chrome Patching,Tatums-Mac.local,Tatum's Mac,Success,0,Success,113.0.5672,04/12/2023,00A69DFE
Google Chrome,Chrome Patching,Pariss-Mac.local,Paris's Mac,Success,0,Success,113.0.5672,04/12/2023,36E23939
Google Chrome,Chrome Patching,Coopers-Mac.local,Cooper's Mac,Success,0,Success,113.0.5672,04/12/2023,FB73517F
Google Chrome,Chrome Patching,Ivans-Mac.local,Ivan's Mac,Success,0,Success,113.0.5672,04/12/2023,D9F4A7C7
Google Chrome,Chrome Patching,Vanessas-Mac.local,Vanessa's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,7842E440
Google Chrome,Chrome Patching,Emersons-Mac.local,Emerson's Mac,Success,0,Success,113.0.5672,04/12/2023,83E131FF
Google Chrome,Chrome Patching,Maias-Mac.local,Maia's Mac,Success,0,Success,113.0.5672,04/12/2023,B71FB763
Google Chrome,Chrome Patching,Alexiss-Mac.local,Alexis's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,C9A343A3
Google Chrome,Chrome Patching,Caidens-Mac.local,Caiden's Mac,Success,0,Success,113.0.5672,04/12/2023,4159E1EA
Google Chrome,Chrome Patching,Kylies-Mac.local,Kylie's Mac,Success,0,Success,113.0.5672,04/12/2023,EEF4F905
Google Chrome,Chrome Patching,Ariahs-Mac.local,Ariah's Mac,Success,0,Success,113.0.5672,04/12/2023,6C70197B
Google Chrome,Chrome Patching,Elises-Mac.local,Elise's Mac,Success,0,Success,113.0.5672,04/12/2023,66B7D4E4
Google Chrome,Chrome Patching,Armanis-Mac.local,Armani's Mac,Waiting,1,Waiting,113.0.5672,04/12/2023,F8813EDD
Google Chrome,Chrome Patching,Elizabeths-Mac.local,Elizabeth's Mac,Success,0,Success,106.0.5249,04/12/2023,C3A1F1C3
Google Chrome,Chrome Patching,Ronins-Mac.local,Ronin's Mac,Success,0,Success,113.0.5672,04/12/2023,E61BBF7A
Google Chrome,Chrome Patching,Laylas-Mac.local,Layla's Mac,Success,0,Success,113.0.5672,04/12/2023,B7499371
Google Chrome,Chrome Patching,Franks-Mac.local,Frank's Mac,Success,0,Success,113.0.5672,04/12/2023,CC5BB1C0
Google Chrome,Chrome Patching,Jeffreys-Mac.local,Jeffrey's Mac,Success,0,Success,109.0.5414,04/12/2023,3BD4097F
Google Chrome,Chrome Patching,Jacobs-Mac.local,Jacob's Mac,Success,0,Success,113.0.5672,04/12/2023,A0CB05C2
Google Chrome,Chrome Patching,Rylans-Mac.local,Rylan's Mac,Success,0,Success,113.0.5672,04/12/2023,489DB949
Google Chrome,Chrome Patching,Daxtons-Mac.local,Daxton's Mac,Success,0,Success,113.0.5672,04/12/2023,C7E2F5BE
Google Chrome,Chrome Patching,Vivians-Mac.local,Vivian's Mac,Success,0,Success,113.0.5672,04/12/2023,D86DEACF
Google Chrome,Chrome Patching,Rowans-Mac.local,Rowan's Mac,Success,0,Success,113.0.5672,04/12/2023,07515B1F
Google Chrome,Chrome Patching,Jordans-Mac.local,Jordan's Mac,Success,0,Success,113.0.5672,04/12/2023,F42D9D95
Google Chrome,Chrome Patching,Brielles-Mac.local,Brielle's Mac,Success,0,Success,106.0.5249,04/12/2023,02D557E9
Google Chrome,Chrome Patching,Desmonds-Mac.local,Desmond's Mac,Success,0,Success,113.0.5672,04/12/2023,5F6881BF
Google Chrome,Chrome Patching,Ezras-Mac.local,Ezra's Mac,Success,0,Success,113.0.5672,04/12/2023,3FFD4B21
Google Chrome,Chrome Patching,Collins-Mac.local,Collin's Mac,Success,0,Success,113.0.5672,04/12/2023,646E7EBF
Google Chrome,Chrome Patching,Adelaides-Mac.local,Adelaide's Mac,Success,0,Success,113.0.5672,04/12/2023,F153CFC7
Google Chrome,Chrome Patching,Hudsons-Mac.local,Hudson's Mac,Success,0,Success,113.0.5672,04/12/2023,6C58ED54
Google Chrome,Chrome Patching,Eduardos-Mac.local,Eduardo's Mac,Success,0,Success,113.0.5672,04/12/2023,B9DAAF8C
Google Chrome,Chrome Patching,Charlis-Mac.local,Charli's Mac,Success,0,Success,113.0.5672,04/12/2023,ACEC7A94
Google Chrome,Chrome Patching,Astrids-Mac.local,Astrid's Mac,Success,0,Success,113.0.5672,04/12/2023,1CD7DA9C
Google Chrome,Chrome Patching,Atlass-Mac.local,Atlas's Mac,Waiting,1,Waiting,106.0.5249,04/12/2023,C50414D3
Google Chrome,Chrome Patching,Violets-Mac.local,Violet's Mac,Success,0,Success,113.0.5672,04/12/2023,75B8D413
Google Chrome,Chrome Patching,Aubreys-Mac.local,Aubrey's Mac,Success,0,Success,113.0.5672,04/12/2023,10FC5CEA
Google Chrome,Chrome Patching,Averys-Mac.local,Avery's Mac,Success,0,Success,113.0.5672,04/12/2023,F792E18B
Google Chrome,Chrome Patching,Landons-Mac.local,Landon's Mac,Success,0,Success,113.0.5672,04/12/2023,E82F307F
Google Chrome,Chrome Patching,Emilys-Mac.local,Emily's Mac,Success,0,Success,109.0.5414,04/12/2023,2299F2F2
Google Chrome,Chrome Patching,Jasmines-Mac.local,Jasmine's Mac,Success,0,Success,113.0.5672,04/12/2023,7513AF26
